x,y,xy,x^4,x^3,x^2,x^2y
1977.3750,336.93,666236.9587,15288192984828.8867,7731559762.2246,3910011.8906,1317400306.3082812
1977.4583,336.17,664762.1567,15290769303333.0859,7732536915.3590,3910341.3282,1314539444.3140678
1977.5417,334.89,662258.9399,15293349040844.3203,7733515324.0229,3910671.1752,1309644669.875752
1977.6250,332.56,657678.9700,15295926010969.1602,7734492641.9160,3911000.6406,1300642373.04625
1977.7083,331.29,655194.9827,15298503306750.0391,7735470042.1443,3911330.1199,1295784555.4179904
1977.7917,331.28,655202.8344,15301084022793.6348,7736448698.2090,3911660.0086,1295854727.6453273
1977.8750,332.46,657564.3225,15303661970359.9219,7737426263.2168,3911989.5156,1300580034.3646874
1977.9583,333.60,659846.8889,15306240243664.5879,7738403910.5701,3912319.0365,1305149630.5893738
1978.0417,334.94,662525.2870,15308821938487.9629,7739382814.0670,3912648.9669,1310502644.9865117
1978.1250,335.26,663186.1875,15311400863742.8281,7740360626.2207,3912978.5156,1311865177.1484375
1978.2083,336.66,665983.6063,15313980114818.4238,7741338520.7303,3913308.0782,1317454297.603072
1978.2917,337.69,668049.3242,15316562788669.0234,7742317671.6907,3913638.0503,1321596433.2020552
1978.3750,338.02,668730.3175,15319142691859.6289,7743295731.0215,3913967.6406,1322999341.8840625
1978.4583,338.01,668738.6900,15321722920953.3262,7744273872.7186,3914297.2448,1323071611.7279932
1978.5417,336.50,665779.2821,15324306574078.6309,7745253271.1737,3914627.2586,1317272072.5319865
1978.6250,334.42,661691.7725,15326887455452.1680,7746231577.7129,3914956.8906,1309239883.3628125
1978.7083,332.36,657643.4906,15329468662811.1680,7747209966.6288,3915286.5365,1301284633.2674477
1978.7917,332.45,657849.3007,15332053295458.6895,7748189612.6099,3915616.5920,1301746736.0067065
1978.8750,333.76,660469.3200,15334635155262.3828,7749168166.3887,3915946.2656,1306986225.615
1978.9583,334.91,662772.9243,15337217341133.9219,7750146802.5546,3916275.9531,1311599979.465746
1979.0417,336.14,665235.0770,15339802953551.1992,7751126696.0930,3916606.0503,1316527957.7609143
1979.1250,336.69,666351.5962,15342385792032.3047,7752105497.1426,3916935.7656,1318793102.9282813
1979.2083,338.27,669506.7916,15344968956663.6465,7753084380.5898,3917265.4948,1325093398.9222379
1979.2917,338.82,670623.6138,15347555549098.2559,7754064521.7167,3917595.6337,1327359752.6064696
1979.3750,339.24,671483.1750,15350139366504.0586,7755043570.0684,3917925.3906,1329117009.515625
1979.4583,339.26,671551.0229,15352723510142.5020,7756022700.8281,3918255.1614,1329307246.0697577
1979.5417,337.54,668174.5054,15355311082842.0449,7757003089.5747,3918585.3420,1322679296.3518069
1979.6250,335.72,664599.7050,15357895879419.8633,7757982385.2598,3918915.1406,1315658191.0106251
1979.7083,333.97,661163.1810,15360481002312.7363,7758961763.3632,3919244.9531,1308910236.9830966
1979.7917,334.24,661725.5778,15363069555524.8477,7759942399.7610,3919575.1754,1310078806.6219826
1979.8750,335.32,663891.6850,15365655331522.0312,7760921942.8105,3919905.0156,1314422549.839375
1979.9583,336.81,666869.7550,15368241433916.6914,7761901568.2889,3920234.8697,1320374306.4767556
1980.0417,337.90,669056.0904,15370830967889.0410,7762882452.3691,3920565.1337,1324758958.6903708
1980.1250,338.34,669955.4925,15373417723552.9688,7763862242.8145,3920895.0156,1326595619.5865624
1980.2083,340.07,673409.4366,15376004805696.8086,7764842115.6990,3921224.9114,1333490955.6160197
1980.2917,340.93,675140.8493,15378595320677.0918,7765823247.4928,3921555.2171,1336975820.1621153
1980.3750,341.45,676199.0437,15381183056255.1758,7766803285.3652,3921885.1406,1339127681.2664063
